,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-04-22,122.519997,122.970001,118.449997,118.540001,117.374588,2085800.0,2085800.0,-3.98,-3.248,119.98667,"April 22, 20",-0.03248
2020-04-21,120.629997,122.18,119.620003,120.480003,119.295517,1605600.0,1605600.0,-0.14999,-0.124,120.76,"April 21, 20",-0.00124
2020-04-20,122.529999,125.669998,121.830002,122.639999,121.43428,2242000.0,2242000.0,0.11,0.09,123.38,"April 20, 20",0.0009
2020-04-17,121.0,124.959999,120.730003,124.849998,123.622551,2464000.0,2464000.0,3.85,3.182,123.51333,"April 17, 20",0.03182
2020-04-16,119.730003,121.0,117.120003,119.080002,117.909279,2238700.0,2238700.0,-0.65,-0.543,119.06667,"April 16, 20",-0.00543
2020-04-15,121.690002,121.690002,118.150002,119.900002,118.721222,2945000.0,2945000.0,-1.79,-1.471,119.91334,"April 15, 20",-0.01471
2020-04-14,125.739998,126.980003,122.050003,125.080002,123.850296,3084200.0,3084200.0,-0.66,-0.525,124.70334,"April 14, 20",-0.00525
2020-04-13,125.190002,125.190002,121.739998,123.529999,122.315529,2821800.0,2821800.0,-1.66,-1.326,123.48667,"April 13, 20",-0.01326
2020-04-09,129.610001,130.0,120.160004,122.290001,121.087715,4750500.0,4750500.0,-7.32,-5.648,124.15,"April 09, 20",-0.05648
2020-04-08,123.0,127.230003,119.919998,125.540001,124.305771,5576500.0,5576500.0,2.54,2.065,124.23,"April 08, 20",0.02065
2020-04-07,124.910004,125.480003,115.75,115.949997,114.810051,3189300.0,3189300.0,-8.96001,-7.173,119.06,"April 07, 20",-0.07173
2020-04-06,113.040001,119.809998,113.010002,119.019997,117.849861,3512600.0,3512600.0,5.98,5.29,117.28,"April 06, 20",0.0529
2020-04-03,115.239998,116.0,107.690002,109.220001,108.146217,3205200.0,3205200.0,-6.02,-5.224,110.97,"April 03, 20",-0.05224
2020-04-02,112.529999,117.300003,111.589996,116.639999,115.493271,2336100.0,2336100.0,4.11,3.652,115.17667,"April 02, 20",0.03652
2020-04-01,116.010002,118.75,112.300003,113.480003,112.364342,2569600.0,2569600.0,-2.53,-2.181,114.84334,"April 01, 20",-0.02181
2020-03-31,122.5,124.849998,119.260002,121.260002,120.067856,2643800.0,2643800.0,-1.24,-1.012,121.79,"March 31, 20",-0.01012
